town_name,loan_amount_000s,applicant_income_000s,occupied_by_owner,loan_purpose_name,loan_approved,denial_reason,co_applicant_sex,co_applicant_race,applicant_sex,applicant_race,applicant_ethnicity
Poway,1867.2173983643859,412.8818705245287,1,Home purchase,1,,Female,White,Male,White,Not Hispanic or Latino
Poway,794.7392313376856,407.60025912720926,1,Home purchase,0,Other,"Information not provided by applicant in mail, Internet, or telephone application","Information not provided by applicant in mail, Internet, or telephone application",Male,White,Not Hispanic or Latino
Poway,1147.2134885869245,334.76035173161057,1,Home purchase,1,,Female,White,Female,White,Not Hispanic or Latino
Poway,986.1176013131364,432.6407635287662,1,Home purchase,1,,"Information not provided by applicant in mail, Internet, or telephone application","Information not provided by applicant in mail, Internet, or telephone application",Male,White,Not Hispanic or Latino
Poway,1459.958681996964,385.12260171894997,1,Home purchase,0,Credit history,"Information not provided by applicant in mail, Internet, or telephone application","Information not provided by applicant in mail, Internet, or telephone application",Female,White,Not Hispanic or Latino
Poway,1101.1261630589959,359.8123488860004,1,Home purchase,1,,"Information not provided by applicant in mail, Internet, or telephone application","Information not provided by applicant in mail, Internet, or telephone application",Female,White,Not Hispanic or Latino
Poway,1341.3336038575744,356.7323528025395,1,Home improvement,1,,Male,White,Female,Black or African American,Not Hispanic or Latino
Poway,1025.2503400119979,408.23863190823647,1,Home purchase,1,,Female,White,Male,White,Not Hispanic or Latino
Poway,1546.6419298492394,382.26333835235334,1,Home purchase,0,Debt-to-income ratio,Female,White,Male,White,Not Hispanic or Latino
Poway,939.7119170823125,364.83204064430043,1,Home purchase,0,Mortgage insurance denied,Female,White,Male,White,Not applicable
Poway,1104.1495699388713,428.8079039410217,1,Home purchase,0,Other,Female,White,Female,White,Hispanic or Latino
Poway,1527.8675088968264,479.0506696038595,1,Home purchase,0,Credit application incomplete,Female,White,Male,White,Not Hispanic or Latino
Poway,713.9826858457366,395.8212909543739,1,Home purchase,1,,"Information not provided by applicant in mail, Internet, or telephone application","Information not provided by applicant in mail, Internet, or telephone application",Male,White,Not Hispanic or Latino
Poway,1161.1589417110376,311.9586682977079,1,Home purchase,1,,Male,White,Male,White,Not Hispanic or Latino
Poway,1162.0445115707494,463.13512525248854,1,Home purchase,0,Debt-to-income ratio,Female,Asian,Female,White,Not Hispanic or Latino
Poway,1189.0459956017073,439.53302937873866,1,Home purchase,0,Debt-to-income ratio,Female,White,"Information not provided by applicant in mail, Internet, or telephone application","Information not provided by applicant in mail, Internet, or telephone application","Information not provided by applicant in mail, Internet, or telephone application"
Poway,1054.5558087567733,383.2839686309336,0,Refinancing,0,Credit application incomplete,Male,White,"Information not provided by applicant in mail, Internet, or telephone application","Information not provided by applicant in mail, Internet, or telephone application","Information not provided by applicant in mail, Internet, or telephone application"
Poway,1711.0032778316322,464.31483455162896,1,Home purchase,0,Credit history,No co-applicant,No co-applicant,"Information not provided by applicant in mail, Internet, or telephone application","Information not provided by applicant in mail, Internet, or telephone application","Information not provided by applicant in mail, Internet, or telephone application"
Poway,1429.6087921156043,427.2539686556175,1,Home purchase,0,Collateral,Female,White,Male,White,Not Hispanic or Latino
Poway,1812.4046242113168,406.2063251775691,1,Home purchase,1,,Female,White,Female,White,Not Hispanic or Latino
Poway,982.0179141255511,383.5388957648691,1,Refinancing,0,"Insufficient cash (downpayment, closing costs)","Information not provided by applicant in mail, Internet, or telephone application","Information not provided by applicant in mail, Internet, or telephone application",Female,White,Hispanic or Latino
Poway,1116.2191283120678,372.3087677510854,1,Home purchase,0,Other,"Information not provided by applicant in mail, Internet, or telephone application","Information not provided by applicant in mail, Internet, or telephone application",Female,White,Not Hispanic or Latino
Poway,1515.1695394002236,338.67857046952753,1,Refinancing,1,,"Information not provided by applicant in mail, Internet, or telephone application","Information not provided by applicant in mail, Internet, or telephone application",Female,Multiracial,Not Hispanic or Latino
Poway,1365.7996709213364,392.7918770639789,1,Home purchase,1,,No co-applicant,No co-applicant,Female,White,Not Hispanic or Latino
Poway,941.3902238974651,356.4702700274185,1,Home purchase,0,Credit history,Male,White,Female,White,Not Hispanic or Latino
Poway,930.836348853107,505.3587714245085,0,Home purchase,1,,"Information not provided by applicant in mail, Internet, or telephone application","Information not provided by applicant in mail, Internet, or telephone application",Male,White,Not applicable
Poway,1397.9924970151637,389.973131436628,1,Home purchase,0,Mortgage insurance denied,Female,White,Male,White,Not Hispanic or Latino
Poway,1471.4448595261576,442.58675521208056,1,Home purchase,0,Credit history,No co-applicant,No co-applicant,Female,White,Not Hispanic or Latino
Poway,1326.7192342321343,377.34857062067124,1,Home purchase,0,Credit history,Female,White,Male,Asian,Not Hispanic or Latino
Poway,1326.0044783917733,451.7664988395455,1,Home purchase,0,Credit history,Female,White,Male,White,Not Hispanic or Latino
Poway,1349.3213456368112,392.6733250684271,1,Home purchase,1,,Not applicable,No co-applicant,Male,White,Not Hispanic or Latino
Poway,1232.2179478876128,425.6421328085022,1,Home purchase,1,,No co-applicant,No co-applicant,Male,White,Hispanic or Latino
Poway,1220.0212699680364,454.37218807740174,1,Home purchase,0,Credit history,Male,White,Female,White,Not Hispanic or Latino
Poway,1819.7799981677724,443.34214519002796,1,Home purchase,1,,Male,White,Male,White,Hispanic or Latino
Poway,905.6772148466839,325.6736655883748,1,Home purchase,0,Credit application incomplete,Not applicable,No co-applicant,Female,White,Not Hispanic or Latino
Poway,1441.7293687964984,357.23261990724603,0,Home purchase,1,,Male,White,Male,White,Not Hispanic or Latino
Poway,1241.888617152634,410.24409472750716,1,Home purchase,0,Credit history,Female,White,Female,White,Not Hispanic or Latino
Poway,1420.0297122602476,431.1314197981576,1,Home purchase,1,,No co-applicant,No co-applicant,Male,Multiracial,Not applicable
Poway,1596.1658154579459,403.68711638617935,1,Refinancing,1,,No co-applicant,No co-applicant,Male,White,Not Hispanic or Latino
Poway,979.0576746853044,403.65618553429704,1,Home purchase,1,,No co-applicant,No co-applicant,Female,White,Not Hispanic or Latino
Poway,1265.4327624090095,355.62431303031747,0,Home purchase,0,Debt-to-income ratio,"Information not provided by applicant in mail, Internet, or telephone application","Information not provided by applicant in mail, Internet, or telephone application",Female,White,Hispanic or Latino
Poway,1849.941731276545,366.9255644336912,1,Home purchase,0,Debt-to-income ratio,"Information not provided by applicant in mail, Internet, or telephone application","Information not provided by applicant in mail, Internet, or telephone application",Female,White,Not Hispanic or Latino
Poway,967.3471720070922,414.0960901566286,1,Home purchase,1,,No co-applicant,No co-applicant,Male,White,Not Hispanic or Latino
Poway,1392.813275427834,445.0095230426751,1,Home purchase,1,,Female,White,Male,Asian,Not applicable
Poway,623.8713498517727,383.8961573097529,1,Home purchase,0,Other,Female,White,Male,White,Not Hispanic or Latino
Poway,1752.7827000373113,376.7800257245596,1,Home purchase,1,,Female,Asian,Female,White,Not Hispanic or Latino
Poway,1463.3206926968355,456.3807428478638,1,Home purchase,1,,No co-applicant,No co-applicant,Female,White,Not Hispanic or Latino
Poway,671.566440469006,464.98309182955404,0,Home purchase,1,,No co-applicant,No co-applicant,Male,Asian,Not Hispanic or Latino
Poway,-164.66923960987992,394.0171320346511,1,Home purchase,0,Mortgage insurance denied,"Information not provided by applicant in mail, Internet, or telephone application","Information not provided by applicant in mail, Internet, or telephone application",Male,White,Not applicable
Poway,1658.658958177918,389.5215440817917,1,Home purchase,1,,Male,White,Female,Asian,Not Hispanic or Latino
Poway,1347.9139240973664,380.72738196582833,1,Home purchase,1,,No co-applicant,No co-applicant,Male,Asian,Not Hispanic or Latino
Poway,1135.9984648008349,399.1908677971155,1,Home purchase,1,,Male,White,Female,White,Not Hispanic or Latino
Poway,162.44622761564915,353.93044981859845,1,Home purchase,1,,Male,White,Male,White,Not Hispanic or Latino
Poway,1604.7902821537346,369.95436945506685,1,Home purchase,1,,No co-applicant,No co-applicant,Female,Asian,Not Hispanic or Latino
Poway,1497.174988999831,310.77854073031614,0,Refinancing,1,,Male,White,Male,White,Not Hispanic or Latino
Poway,1658.4167134620222,360.95552171831116,1,Home purchase,1,,Male,Black or African American,Male,White,Not applicable
Poway,985.1714429035817,393.1903720699782,1,Home purchase,1,,Male,White,Male,White,Not Hispanic or Latino
Poway,1428.760789977008,348.4126420306038,1,Home purchase,1,,"Information not provided by applicant in mail, Internet, or telephone application","Information not provided by applicant in mail, Internet, or telephone application",Female,Black or African American,Not applicable
Poway,299.92001706194515,420.12156240023745,1,Home purchase,0,Mortgage insurance denied,No co-applicant,No co-applicant,Male,Asian,Not Hispanic or Latino
Poway,1892.888434272372,397.47847786450717,1,Home purchase,1,,Female,White,Male,White,Not applicable
Poway,1249.8267373023887,386.81716777354956,1,Home purchase,0,Credit history,Female,Asian,Male,White,Not Hispanic or Latino
Poway,124.54796903147735,356.44767255559884,1,Home purchase,1,,Female,White,Male,White,Not Hispanic or Latino
Poway,908.0650384993603,454.8416383091347,1,Home purchase,0,Credit history,Not applicable,No co-applicant,Male,White,Hispanic or Latino
Poway,-165.45571207335615,349.57151778138154,1,Home purchase,1,,No co-applicant,No co-applicant,Male,White,Not Hispanic or Latino
Poway,1164.5210763089267,358.51014467262473,1,Home purchase,1,,Not applicable,No co-applicant,Male,White,Not Hispanic or Latino
Poway,724.9757769890837,428.69125442299566,1,Home purchase,1,,Female,White,Male,White,Not applicable
Poway,1292.2002140168752,371.05274220196924,0,Home purchase,0,Credit application incomplete,Female,White,"Information not provided by applicant in mail, Internet, or telephone application","Information not provided by applicant in mail, Internet, or telephone application","Information not provided by applicant in mail, Internet, or telephone application"
Poway,1480.6817197190571,361.4044332675625,0,Home purchase,1,,"Information not provided by applicant in mail, Internet, or telephone application","Information not provided by applicant in mail, Internet, or telephone application",Male,White,Not Hispanic or Latino
Poway,1785.2190051173684,398.4258790316291,1,Home purchase,0,Credit application incomplete,Male,White,Female,White,Not Hispanic or Latino
Poway,1208.6031162685456,453.3474470071226,1,Refinancing,0,Collateral,No co-applicant,No co-applicant,"Information not provided by applicant in mail, Internet, or telephone application","Information not provided by applicant in mail, Internet, or telephone application","Information not provided by applicant in mail, Internet, or telephone application"
Poway,1247.9594462651537,393.3481104575836,1,Refinancing,0,Other,Female,White,Male,Asian,Hispanic or Latino
Poway,2697.1530163957004,390.6737794541235,1,Home purchase,1,,No co-applicant,No co-applicant,Male,White,Not Hispanic or Latino
Poway,1531.1944998392696,344.72160574890506,1,Home purchase,0,"Insufficient cash (downpayment, closing costs)",Male,White,Male,White,Not Hispanic or Latino
Poway,1147.5545814889854,386.94907557388933,1,Home purchase,1,,Male,White,Female,White,Not Hispanic or Latino
Poway,901.9437607694747,440.1267163957589,1,Home purchase,1,,No co-applicant,No co-applicant,Male,White,Not Hispanic or Latino
Poway,1387.965005550996,328.7857500042471,1,Home purchase,0,Mortgage insurance denied,Female,White,Male,White,Not Hispanic or Latino
Poway,599.9982620683887,423.07692802108664,0,Home purchase,0,Credit history,Male,White,"Information not provided by applicant in mail, Internet, or telephone application","Information not provided by applicant in mail, Internet, or telephone application","Information not provided by applicant in mail, Internet, or telephone application"
Poway,361.6486733231975,370.6216075743869,1,Home purchase,1,,Male,White,Male,White,Not Hispanic or Latino
Poway,743.6570935561758,349.6463070942889,0,Home purchase,1,,Female,White,Male,White,Not Hispanic or Latino
Poway,1680.2033717547758,365.01766171552856,1,Home purchase,1,,Female,White,Male,White,Not Hispanic or Latino
Poway,1413.726153982101,411.5188600767749,1,Home purchase,0,Other,Female,White,Male,White,Not Hispanic or Latino
Poway,233.146504142308,377.29298209834144,1,Home purchase,1,,No co-applicant,Not applicable,Female,White,Not Hispanic or Latino
Poway,1793.6356760422227,390.35857249261784,1,Home purchase,1,,Male,White,Male,White,Not Hispanic or Latino
Poway,911.3440062719212,414.1548416249875,1,Home purchase,1,,Male,White,Female,White,Not Hispanic or Latino
Poway,1454.7348997561103,467.8535963144169,1,Home purchase,1,,Female,White,"Information not provided by applicant in mail, Internet, or telephone application","Information not provided by applicant in mail, Internet, or telephone application","Information not provided by applicant in mail, Internet, or telephone application"
Poway,1259.3260671081512,443.2618474124992,1,Home purchase,0,Credit application incomplete,Male,White,Female,Asian,Hispanic or Latino
Poway,150.0151789095744,378.01245755488253,1,Home purchase,0,Other,Female,White,Male,White,Not Hispanic or Latino
Poway,885.3902292729142,377.9571308128057,1,Refinancing,0,"Insufficient cash (downpayment, closing costs)",Female,White,Female,White,Not Hispanic or Latino
Poway,1589.848441613444,369.49756465887174,1,Home purchase,1,,No co-applicant,No co-applicant,Male,White,Not applicable
Poway,1434.7137417654717,382.2336089410704,1,Home purchase,0,Debt-to-income ratio,Female,White,Female,Asian,Not Hispanic or Latino
Poway,634.452540350192,384.51337998303455,1,Home purchase,1,,Male,White,"Information not provided by applicant in mail, Internet, or telephone application","Information not provided by applicant in mail, Internet, or telephone application","Information not provided by applicant in mail, Internet, or telephone application"
Poway,1135.9724806755557,399.0034635148581,1,Home purchase,0,Mortgage insurance denied,Female,White,Male,White,Not Hispanic or Latino
Poway,739.3323143762946,411.5556251624935,1,Home purchase,0,Debt-to-income ratio,"Information not provided by applicant in mail, Internet, or telephone application","Information not provided by applicant in mail, Internet, or telephone application",Female,White,Not Hispanic or Latino
Poway,1706.7277455873004,405.7320412197933,1,Home purchase,1,,Female,White,Male,White,Not Hispanic or Latino
Poway,620.5793557829834,362.60903419520633,1,Home purchase,1,,"Information not provided by applicant in mail, Internet, or telephone application","Information not provided by applicant in mail, Internet, or telephone application",Female,White,Not Hispanic or Latino
Poway,986.7689221872579,441.38837409187477,1,Home purchase,1,,Female,White,Male,White,Not Hispanic or Latino
Poway,1347.9898570606877,384.6618613792048,1,Refinancing,0,Other,"Information not provided by applicant in mail, Internet, or telephone application","Information not provided by applicant in mail, Internet, or telephone application",Male,White,Not Hispanic or Latino
Poway,281.009665219673,360.2663922804463,0,Home purchase,1,,Male,White,Male,White,Not Hispanic or Latino
Poway,1016.4573589182528,439.4611961698811,1,Home improvement,1,,No co-applicant,No co-applicant,Male,White,Not applicable
Poway,1407.7000327397386,436.821582589345,1,Home purchase,1,,"Information not provided by applicant in mail, Internet, or telephone application","Information not provided by applicant in mail, Internet, or telephone application",Male,White,Not Hispanic or Latino
Poway,1440.954608507102,382.2168948741202,1,Home purchase,1,,No co-applicant,No co-applicant,Male,White,Not Hispanic or Latino
Poway,2143.419498870784,351.80862690173956,1,Home purchase,0,Other,Not applicable,No co-applicant,Female,White,Not Hispanic or Latino
Poway,567.7616137326025,442.90756020222994,1,Home purchase,0,Credit history,Not applicable,No co-applicant,Male,White,Not Hispanic or Latino
Poway,1913.0331288669,358.24164143358496,1,Home purchase,1,,Female,White,Female,White,Not Hispanic or Latino
Poway,883.5853935543666,302.73455670161,1,Home purchase,0,Credit history,No co-applicant,Not applicable,Male,Asian,Not Hispanic or Latino
Poway,1060.0803304973913,410.522651631377,1,Home purchase,0,"Insufficient cash (downpayment, closing costs)","Information not provided by applicant in mail, Internet, or telephone application","Information not provided by applicant in mail, Internet, or telephone application","Information not provided by applicant in mail, Internet, or telephone application","Information not provided by applicant in mail, Internet, or telephone application","Information not provided by applicant in mail, Internet, or telephone application"
Poway,1931.6459994829308,405.30163616883016,1,Home purchase,1,,Male,White,Male,White,Not Hispanic or Latino
Poway,638.9328651994672,327.427658548963,1,Home purchase,1,,Male,White,Male,White,Not applicable
Poway,1012.5070873250902,360.5736358683814,1,Home purchase,0,Credit application incomplete,"Information not provided by applicant in mail, Internet, or telephone application","Information not provided by applicant in mail, Internet, or telephone application",Male,White,Not Hispanic or Latino
Poway,1428.1565363886764,463.23445313557613,1,Home purchase,1,,Male,White,"Information not provided by applicant in mail, Internet, or telephone application","Information not provided by applicant in mail, Internet, or telephone application","Information not provided by applicant in mail, Internet, or telephone application"
Poway,715.6549748895366,423.0747307722795,1,Home improvement,1,,No co-applicant,No co-applicant,"Information not provided by applicant in mail, Internet, or telephone application","Information not provided by applicant in mail, Internet, or telephone application","Information not provided by applicant in mail, Internet, or telephone application"
Poway,1260.5023597111413,413.38749208094436,1,Home purchase,0,Debt-to-income ratio,Female,White,Female,White,Not Hispanic or Latino
Poway,1542.623263968758,406.7547999714349,1,Home purchase,1,,Male,White,Female,White,Not Hispanic or Latino
Poway,1132.6187021512053,398.12433222334494,1,Home purchase,0,Other,Not applicable,No co-applicant,Male,Black or African American,Not applicable
Poway,307.0589270932185,428.6863955572127,1,Refinancing,0,Other,Female,White,Male,White,Not Hispanic or Latino
Poway,1822.9799335464693,426.44606692295156,0,Home purchase,0,Credit history,No co-applicant,No co-applicant,Female,White,Not applicable
Poway,199.33430238022345,397.3119786377865,1,Home purchase,1,,Female,White,Male,White,Not Hispanic or Latino
Poway,945.7400124432298,407.0991499384687,1,Home purchase,0,Debt-to-income ratio,Male,White,Female,White,Not Hispanic or Latino
Poway,1278.7842124943477,359.371873513449,1,Refinancing,0,Debt-to-income ratio,Female,Asian,Male,White,Not Hispanic or Latino
Poway,2098.19014806028,333.07798422730696,1,Home purchase,0,Other,"Information not provided by applicant in mail, Internet, or telephone application","Information not provided by applicant in mail, Internet, or telephone application",Male,White,Not Hispanic or Latino
Poway,1061.2307454862073,370.81633394041233,1,Home purchase,0,Other,No co-applicant,No co-applicant,Female,White,Not Hispanic or Latino
Poway,112.85355111742842,476.29130855847177,1,Home purchase,1,,"Information not provided by applicant in mail, Internet, or telephone application","Information not provided by applicant in mail, Internet, or telephone application",Female,White,Not Hispanic or Latino
Poway,1382.31641265066,360.98799430503664,1,Refinancing,0,Collateral,Female,White,Female,White,Not Hispanic or Latino
Poway,460.32452467964356,416.60547416912414,1,Home improvement,1,,Male,White,"Information not provided by applicant in mail, Internet, or telephone application","Information not provided by applicant in mail, Internet, or telephone application","Information not provided by applicant in mail, Internet, or telephone application"
Poway,1570.219101220429,389.9532380226319,1,Refinancing,0,Credit history,No co-applicant,No co-applicant,Female,White,Not Hispanic or Latino
Poway,1374.0012758468374,389.1055428715613,1,Home purchase,1,,Male,White,Male,White,Not Hispanic or Latino
Poway,1245.1856155246744,307.08198846270426,1,Home purchase,1,,Male,Black or African American,Male,White,Not Hispanic or Latino
Poway,1134.4030045325721,416.76176834712487,1,Home purchase,1,,"Information not provided by applicant in mail, Internet, or telephone application","Information not provided by applicant in mail, Internet, or telephone application",Female,Asian,Not Hispanic or Latino
Poway,1671.2844487181924,385.3543455822374,0,Home purchase,0,Employment history,Male,White,Female,White,Not Hispanic or Latino
Poway,1964.3969200897031,416.9624996413392,1,Home purchase,1,,"Information not provided by applicant in mail, Internet, or telephone application","Information not provided by applicant in mail, Internet, or telephone application","Information not provided by applicant in mail, Internet, or telephone application","Information not provided by applicant in mail, Internet, or telephone application","Information not provided by applicant in mail, Internet, or telephone application"
Poway,1715.4390092420617,401.16781385054423,1,Home purchase,1,,Male,White,Female,White,Not Hispanic or Latino
Poway,1623.5691131542949,344.82990666872087,1,Home purchase,0,Collateral,Male,White,Male,White,Not applicable
Poway,2417.0797120093434,388.77107184320585,1,Home purchase,0,Employment history,No co-applicant,No co-applicant,Female,White,Not Hispanic or Latino
Poway,1458.8134940941522,366.923410359407,1,Home purchase,0,Credit application incomplete,Male,White,Male,White,Not Hispanic or Latino
Poway,1392.1643722966971,350.1620104357835,1,Home improvement,0,Employment history,Male,White,Female,White,Not Hispanic or Latino
Poway,986.0511718774367,426.3623025016704,0,Home purchase,1,,Female,White,Female,White,Not applicable
Poway,336.31518995424426,375.59562394153113,1,Home purchase,1,,Female,White,Female,White,Not Hispanic or Latino
Poway,1074.415670795969,374.8846098236249,1,Home purchase,0,Credit history,Male,White,Female,Asian,Not Hispanic or Latino
Poway,480.2636504389641,413.32464183154036,1,Home purchase,1,,No co-applicant,No co-applicant,Female,White,Not Hispanic or Latino
Poway,698.6794175731048,429.5193233558158,1,Home purchase,0,Debt-to-income ratio,Male,White,Female,White,Not Hispanic or Latino
Poway,987.4739261957826,431.6214993090252,1,Home purchase,1,,Male,White,Female,White,Not applicable
Poway,2733.401846816521,345.1960756381818,1,Home purchase,0,Credit history,Male,White,Male,White,Not applicable
Poway,911.8619567791295,407.5265820736399,1,Home purchase,1,,Male,White,Female,Asian,Not applicable
Poway,1556.4572855368574,413.56469103647345,1,Home purchase,1,,"Information not provided by applicant in mail, Internet, or telephone application","Information not provided by applicant in mail, Internet, or telephone application",Male,White,Not Hispanic or Latino
Poway,1615.9841108645173,352.0383081657037,1,Home purchase,0,Unverifiable information,Not applicable,No co-applicant,Male,Black or African American,Not Hispanic or Latino
Poway,912.8725610774006,383.47751411142264,1,Home purchase,1,,Male,Asian,Male,White,Not Hispanic or Latino
Poway,1340.6413100690208,344.8383661232561,1,Home purchase,1,,Female,White,Male,White,Not Hispanic or Latino
Poway,604.2107194990541,275.33385461234366,1,Refinancing,1,,Male,White,Male,White,Not applicable
Poway,959.711817903683,406.2019238584777,1,Home purchase,1,,No co-applicant,No co-applicant,"Information not provided by applicant in mail, Internet, or telephone application","Information not provided by applicant in mail, Internet, or telephone application","Information not provided by applicant in mail, Internet, or telephone application"
Poway,1256.1351860067698,397.5301420453761,1,Home purchase,1,,No co-applicant,Not applicable,Male,White,Not Hispanic or Latino
Poway,508.9434048673389,392.2393253073238,0,Home purchase,0,Other,"Information not provided by applicant in mail, Internet, or telephone application","Information not provided by applicant in mail, Internet, or telephone application","Information not provided by applicant in mail, Internet, or telephone application","Information not provided by applicant in mail, Internet, or telephone application","Information not provided by applicant in mail, Internet, or telephone application"
Poway,970.1163502386296,344.9652967172375,1,Home purchase,0,Employment history,Not applicable,No co-applicant,Male,White,Not Hispanic or Latino
Poway,929.6084257180473,407.0332312038956,1,Home purchase,0,"Insufficient cash (downpayment, closing costs)","Information not provided by applicant in mail, Internet, or telephone application","Information not provided by applicant in mail, Internet, or telephone application",Male,White,Not Hispanic or Latino
Poway,1657.8460525705739,388.9129441457249,1,Home purchase,1,,No co-applicant,No co-applicant,Male,White,Not Hispanic or Latino
Poway,1782.5472265051326,394.010839246467,1,Home purchase,0,Debt-to-income ratio,Male,White,Female,American Indian or Alaska Native,Not Hispanic or Latino
Poway,1097.6826305332702,336.16120058316653,1,Home purchase,0,Collateral,No co-applicant,No co-applicant,Male,Asian,Not Hispanic or Latino
Poway,837.2274342420939,425.2975332568968,1,Home purchase,0,Credit history,Male,White,Male,White,Not Hispanic or Latino
Poway,858.9768248897115,355.6110884966225,1,Home purchase,0,Debt-to-income ratio,Male,White,Female,White,Not Hispanic or Latino
Poway,1580.7123275641948,400.04785751657187,1,Home purchase,0,Credit history,Female,White,"Information not provided by applicant in mail, Internet, or telephone application","Information not provided by applicant in mail, Internet, or telephone application","Information not provided by applicant in mail, Internet, or telephone application"
Poway,1742.4230737230694,304.77081393488464,1,Home purchase,1,,No co-applicant,Not applicable,Female,Black or African American,Not Hispanic or Latino
Poway,2004.914704169401,339.0765821304165,1,Home purchase,1,,"Information not provided by applicant in mail, Internet, or telephone application","Information not provided by applicant in mail, Internet, or telephone application",Male,White,Not Hispanic or Latino
Poway,1715.4131930056838,474.81583356305106,1,Home purchase,1,,"Information not provided by applicant in mail, Internet, or telephone application","Information not provided by applicant in mail, Internet, or telephone application",Male,White,Not Hispanic or Latino
Poway,1274.7337401099628,342.5125519056911,1,Home purchase,1,,Male,White,Female,White,Not Hispanic or Latino
Poway,1020.9586878768781,375.463179502727,1,Home purchase,0,Debt-to-income ratio,No co-applicant,No co-applicant,Male,White,Not Hispanic or Latino
Poway,741.2826473091625,423.5138031125287,1,Home purchase,0,"Insufficient cash (downpayment, closing costs)",No co-applicant,No co-applicant,Male,White,Not Hispanic or Latino
Poway,1633.9630333706848,383.28922560908893,1,Home purchase,0,Other,"Information not provided by applicant in mail, Internet, or telephone application","Information not provided by applicant in mail, Internet, or telephone application",Male,White,Not Hispanic or Latino
Poway,483.2965838972301,402.6835598192054,1,Home purchase,1,,Male,White,Female,White,Hispanic or Latino
Poway,1805.9643617864976,416.74703730675617,1,Home purchase,1,,Female,White,Female,White,Not Hispanic or Latino
